2018-02-05 09:18:40 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:18:40', '221.237.115.43', 'Mozilla/5.0 (Linux; Android 6.0; M5s Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:19:17 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:19:17', '222.212.199.118', 'Mozilla/5.0 (Linux; Android 6.0.1; vivo Y66 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 MicroMessenger/6.5.4.1000 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:21:27 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:21:27', '222.212.199.118', 'Mozilla/5.0 (Linux; Android 6.0.1; vivo Y66 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 MicroMessenger/6.5.4.1000 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:22:49 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:22:49', '222.209.11.231', 'Mozilla/5.0 (Linux; U; Android 4.4.4; zh-cn; SK3-01 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko)Version/4.0 MQQBrowser/5.6 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:24:17 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:24:17', '110.185.83.99', 'Mozilla/5.0 (Linux; Android 5.1; OPPO A59m Build/LMY47I; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:24:26 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:24:26', '171.212.176.160', 'Mozilla/5.0 (Linux; U; Android 5.1.1; zh-CN; Hisense E70-T Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/11.8.3.963 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:28:48 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:28:48', '171.217.16.97', 'Mozilla/5.0 (Linux; Android 6.0.1; OPPO R9s Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:33:00 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:33:00', '125.70.190.51', 'Mozilla/5.0 (Linux; Android 6.0; HUAWEI CRR-CL00 Build/HUAWEICRR-CL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:49:48 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:49:48', '171.212.218.71', 'Mozilla/5.0 (Linux; Android 6.0; GN9011 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:54:05 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:54:05', '171.212.218.71', 'Mozilla/5.0 (Linux; Android 6.0; GN9011 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 10:02:29 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:02:29', '171.214.147.43', 'Mozilla/5.0 (Linux; U; Android 4.4.2; zh-cn; 2014501 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.146 Mobile Safari/537.36 XiaoMi/MiuiBrowser/9.3.2', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 10:09:20 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:09:20', '171.221.5.230', 'Mozilla/5.0 (Linux; Android 6.0.1; C01 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.2403.119 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060133) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
